customer_state,tempo_entrega
AC,20.6375
AL,24.04030226700252
AM,25.986206896551725
AP,26.73134328358209
BA,18.86640049140049
CE,20.817826426896012
DF,12.509134615384616
ES,15.331829573934836
GO,15.15074092999489
MA,21.11715481171548
MG,11.543813298106562
MS,15.191155492154065
MT,17.59367945823928
PA,23.316067653276956
PB,19.95357833655706
PE,17.965473948524796
PI,18.993697478991596
PR,11.52671135486492
RJ,14.84918643244556
RN,18.824894514767934
RO,18.91358024691358
RR,28.975609756097562
RS,14.819236526946108
SC,14.479560191711306
SE,21.029850746268657
SP,8.298061489072724
TO,17.226277372262775
